"domain_1","domain_2"
"PF00006","PF01426"
"PF00006","PF01466"
"PF00006","PF01496"
"PF00006","PF01992"
"PF00006","PF02205"
"PF00006","PF02823"
"PF00006","PF02874"
"PF00006","PF03179"
"PF00006","PF03223"
"PF00006","PF04568"
"PF00006","PF05203"
"PF00006","PF05204"
"PF00006","PF05405"
"PF00006","PF05511"
"PF00006","PF07497"
"PF00006","PF07498"
"PF00007","PF00007"
"PF00007","PF00090"
"PF00007","PF00093"
"PF00007","PF00094"
"PF00007","PF00219"
"PF00007","PF00236"
"PF00007","PF00560"
"PF00007","PF01462"
"PF00007","PF01826"
"PF00007","PF07686"
"PF00008","PF00008"
"PF00008","PF00010"
"PF00008","PF00023"
"PF00008","PF00028"
"PF00008","PF00039"
"PF00008","PF00040"
"PF00008","PF00041"
"PF00008","PF00046"
"PF00008","PF00047"
"PF00008","PF00050"
"PF00008","PF00051"
"PF00008","PF00052"
"PF00008","PF00053"
"PF00008","PF00054"
"PF00008","PF00057"
"PF00008","PF00058"
"PF00008","PF00059"
"PF00008","PF00069"
"PF00008","PF00079"
"PF00008","PF00082"
"PF00008","PF00084"
"PF00008","PF00086"
"PF00008","PF00089"
"PF00008","PF00090"
"PF00008","PF00092"
"PF00008","PF00093"
"PF00008","PF00094"
"PF00008","PF00098"
"PF00008","PF00100"
"PF00008","PF00110"
"PF00008","PF00130"
"PF00008","PF00147"
"PF00008","PF00193"
"PF00008","PF00270"
"PF00008","PF00292"
"PF00008","PF00339"
"PF00008","PF00362"
"PF00008","PF00386"
"PF00008","PF00412"
"PF00008","PF00431"
"PF00008","PF00560"
"PF00008","PF00594"
"PF00008","PF00629"
"PF00008","PF00641"
"PF00008","PF00648"
"PF00008","PF00651"
"PF00008","PF00751"
"PF00008","PF00752"
"PF00008","PF00754"
"PF00008","PF00757"
"PF00008","PF00780"
"PF00008","PF00861"
"PF00008","PF00867"
"PF00008","PF00917"
"PF00008","PF01030"
"PF00008","PF01049"
"PF00008","PF01108"
"PF00008","PF01145"
"PF00008","PF01324"
"PF00008","PF01344"
"PF00008","PF01382"
"PF00008","PF01390"
"PF00008","PF01400"
"PF00008","PF01436"
"PF00008","PF01437"
"PF00008","PF01462"
"PF00008","PF01463"
"PF00008","PF01500"
"PF00008","PF01545"
"PF00008","PF01683"
"PF00008","PF01757"
"PF00008","PF01821"
"PF00008","PF01825"
"PF00008","PF01826"
"PF00008","PF02010"
"PF00008","PF02012"
"PF00008","PF02014"
"PF00008","PF02019"
"PF00008","PF02146"
"PF00008","PF02158"
"PF00008","PF02210"
"PF00008","PF02339"
"PF00008","PF02412"
"PF00008","PF02752"
"PF00008","PF02793"
"PF00008","PF03098"
"PF00008","PF03145"
"PF00008","PF03148"
"PF00008","PF03160"
"PF00008","PF03615"
"PF00008","PF04058"
"PF00008","PF04434"
"PF00008","PF05001"
"PF00008","PF05735"
"PF00008","PF06119"
"PF00008","PF07474"
"PF00008","PF07645"
"PF00008","PF07686"
"PF00008","PF09294"
"PF00008","PF11581"
"PF00009","PF00009"
"PF00009","PF00018"
"PF00009","PF00022"
"PF00009","PF00043"
"PF00009","PF00046"
"PF00009","PF00069"
"PF00009","PF00071"
"PF00009","PF00076"
"PF00009","PF00097"
"PF00009","PF00104"
"PF00009","PF00105"
"PF00009","PF00129"
"PF00009","PF00132"
"PF00009","PF00134"
"PF00009","PF00153"
"PF00009","PF00179"
"PF00009","PF00249"
"PF00009","PF00271"
"PF00009","PF00320"
"PF00009","PF00324"
"PF00009","PF00385"
"PF00009","PF00400"
"PF00009","PF00412"
"PF00009","PF00501"
"PF00009","PF00569"
"PF00009","PF00572"
"PF00009","PF00575"
"PF00009","PF00578"
"PF00009","PF00595"
"PF00009","PF00610"
"PF00009","PF00627"
"PF00009","PF00638"
"PF00009","PF00643"
"PF00009","PF00646"
"PF00009","PF00647"
"PF00009","PF00679"
"PF00009","PF00736"
"PF00009","PF00763"
"PF00009","PF00773"
"PF00009","PF00806"
"PF00009","PF00856"
"PF00009","PF00889"
"PF00009","PF00928"
"PF00009","PF01008"
"PF00009","PF01138"
"PF00009","PF01193"
"PF00009","PF01217"
"PF00009","PF01248"
"PF00009","PF01268"
"PF00009","PF01269"
"PF00009","PF01423"
"PF00009","PF01466"
"PF00009","PF01472"
"PF00009","PF01507"
"PF00009","PF01509"
"PF00009","PF01583"
"PF00009","PF01798"
"PF00009","PF01873"
"PF00009","PF01926"
"PF00009","PF02020"
"PF00009","PF02214"
"PF00009","PF02731"
"PF00009","PF02732"
"PF00009","PF02735"
"PF00009","PF02798"
"PF00009","PF02854"
"PF00009","PF02882"
"PF00009","PF02984"
"PF00009","PF03143"
"PF00009","PF03144"
"PF00009","PF03431"
"PF00009","PF03463"
"PF00009","PF03465"
"PF00009","PF03725"
"PF00009","PF03764"
"PF00009","PF04435"
"PF00009","PF05033"
"PF00009","PF06421"
"PF00009","PF07065"
"PF00009","PF07541"
"PF00009","PF07686"
"PF00009","PF07724"
"PF00009","PF09173"
"PF00009","PF11987"
"PF00010","PF00010"
"PF00010","PF00036"
"PF00010","PF00046"
"PF00010","PF00047"
"PF00010","PF00069"
"PF00010","PF00071"
"PF00010","PF00096"
"PF00010","PF00097"
"PF00010","PF00125"
"PF00010","PF00179"
"PF00010","PF00202"
"PF00010","PF00237"
"PF00010","PF00324"
"PF00010","PF00352"
"PF00010","PF00379"
"PF00010","PF00389"
"PF00010","PF00400"
"PF00010","PF00412"
"PF00010","PF00428"
"PF00010","PF00439"
"PF00010","PF00550"
"PF00010","PF00554"
"PF00010","PF00628"
"PF00010","PF00665"
"PF00010","PF00782"
"PF00010","PF00785"
"PF00010","PF00917"
"PF00010","PF00989"
"PF00010","PF01027"
"PF00010","PF01056"
"PF00010","PF01214"
"PF00010","PF01417"
"PF00010","PF01585"
"PF00010","PF01951"
"PF00010","PF02176"
"PF00010","PF02344"
"PF00010","PF02493"
"PF00010","PF02820"
"PF00010","PF02826"
"PF00010","PF02984"
"PF00010","PF02985"
"PF00010","PF03372"
"PF00010","PF03645"
"PF00010","PF03920"
"PF00010","PF03966"
"PF00010","PF04719"
"PF00010","PF05177"
"PF00010","PF05622"
"PF00010","PF06862"
"PF00010","PF07189"
"PF00010","PF07469"
"PF00010","PF07527"
"PF00010","PF07716"
"PF00010","PF08271"
"PF00010","PF08447"
"PF00010","PF08618"
"PF00011","PF00011"
"PF00011","PF00071"
"PF00011","PF00089"
"PF00011","PF00134"
"PF00011","PF00153"
"PF00011","PF00249"
"PF00011","PF00324"
"PF00011","PF00337"
"PF00011","PF00514"
"PF00011","PF00533"
"PF00011","PF00595"
"PF00011","PF01115"
"PF00011","PF01192"
"PF00011","PF01633"
"PF00011","PF02453"
"PF00011","PF03006"
"PF00011","PF03645"
"PF00011","PF03874"
"PF00011","PF05450"
"PF00011","PF05482"
"PF00012","PF00012"
"PF00012","PF00018"
"PF00012","PF00044"
"PF00012","PF00069"
"PF00012","PF00079"
"PF00012","PF00080"
"PF00012","PF00096"
"PF00012","PF00111"
"PF00012","PF00125"
"PF00012","PF00132"
"PF00012","PF00134"
"PF00012","PF00183"
"PF00012","PF00224"
"PF00012","PF00226"
"PF00012","PF00238"
"PF00012","PF00240"
"PF00012","PF00262"
"PF00012","PF00285"
"PF00012","PF00300"
"PF00012","PF00389"
"PF00012","PF00400"
"PF00012","PF00466"
"PF00012","PF00483"
"PF00012","PF00503"
"PF00012","PF00515"
"PF00012","PF00534"
"PF00012","PF00554"
"PF00012","PF00562"
"PF00012","PF00578"
"PF00012","PF00580"
"PF00012","PF00617"
"PF00012","PF00618"
"PF00012","PF00637"
"PF00012","PF00638"
"PF00012","PF00683"
"PF00012","PF00684"
"PF00012","PF00757"
"PF00012","PF00795"
"PF00012","PF00806"
"PF00012","PF00956"
"PF00012","PF00982"
"PF00012","PF01025"
"PF00012","PF01068"
"PF00012","PF01105"
"PF00012","PF01111"
"PF00012","PF01172"
"PF00012","PF01214"
"PF00012","PF01218"
"PF00012","PF01249"
"PF00012","PF01253"
"PF00012","PF01269"
"PF00012","PF01331"
"PF00012","PF01393"
"PF00012","PF01394"
"PF00012","PF01521"
"PF00012","PF01556"
"PF00012","PF01591"
"PF00012","PF01592"
"PF00012","PF01734"
"PF00012","PF01777"
"PF00012","PF01781"
"PF00012","PF01865"
"PF00012","PF02179"
"PF00012","PF02234"
"PF00012","PF02441"
"PF00012","PF02463"
"PF00012","PF02466"
"PF00012","PF02518"
"PF00012","PF02800"
"PF00012","PF02826"
"PF00012","PF02887"
"PF00012","PF02940"
"PF00012","PF03810"
"PF00012","PF03909"
"PF00012","PF03919"
"PF00012","PF04096"
"PF00012","PF04129"
"PF00012","PF04190"
"PF00012","PF04280"
"PF00012","PF04423"
"PF00012","PF04560"
"PF00012","PF04561"
"PF00012","PF04563"
"PF00012","PF04565"
"PF00012","PF04567"
"PF00012","PF04648"
"PF00012","PF04733"
"PF00012","PF05291"
"PF00012","PF05388"
"PF00012","PF05436"
"PF00012","PF05482"
"PF00012","PF06419"
"PF00012","PF06807"
"PF00012","PF06881"
"PF00012","PF08534"
"PF00012","PF08636"
"PF00012","PF08737"
"PF00013","PF00013"
"PF00013","PF00014"
"PF00013","PF00017"
"PF00013","PF00023"
"PF00013","PF00046"
"PF00013","PF00069"
"PF00013","PF00071"
"PF00013","PF00076"
"PF00013","PF00096"
"PF00013","PF00102"
"PF00013","PF00125"
"PF00013","PF00189"
"PF00013","PF00270"
"PF00013","PF00400"
"PF00013","PF00417"
"PF00013","PF00503"
"PF00013","PF00515"
"PF00013","PF00567"
"PF00013","PF00575"
"PF00013","PF00595"
"PF00013","PF00641"
"PF00013","PF00642"
"PF00013","PF00753"
"PF00013","PF01138"
"PF00013","PF01217"
"PF00013","PF01249"
"PF00013","PF01602"
"PF00013","PF01652"
"PF00013","PF01839"
"PF00013","PF01873"
"PF00013","PF01922"
"PF00013","PF01926"
"PF00013","PF01966"
"PF00013","PF02184"
"PF00013","PF02598"
"PF00013","PF02770"
"PF00013","PF02771"
"PF00013","PF02854"
"PF00013","PF02882"
"PF00013","PF03725"
"PF00013","PF03726"
"PF00013","PF03813"
"PF00013","PF04180"
"PF00013","PF06858"
"PF00013","PF07521"
"PF00013","PF07957"
"PF00013","PF08441"
"PF00013","PF08739"
"PF00014","PF00014"
"PF00014","PF00041"
"PF00014","PF00046"
"PF00014","PF00050"
"PF00014","PF00057"
"PF00014","PF00061"
"PF00014","PF00068"
"PF00014","PF00089"
"PF00014","PF00092"
"PF00014","PF00095"
"PF00014","PF00339"
"PF00014","PF00949"
"PF00014","PF01391"
"PF00014","PF01683"
"PF00014","PF02177"
"PF00014","PF02363"
"PF00014","PF02752"
"PF00014","PF03494"
"PF00014","PF06493"
"PF00015","PF00015"
"PF00015","PF00672"
"PF00015","PF00785"
"PF00015","PF01584"
"PF00015","PF01590"
"PF00015","PF01627"
"PF00015","PF02203"
"PF00016","PF00016"
"PF00016","PF00101"
"PF00016","PF02788"
"PF00017","PF00017"
"PF00017","PF00018"
"PF00017","PF00021"
"PF00017","PF00022"
"PF00017","PF00023"
"PF00017","PF00041"
"PF00017","PF00047"
"PF00017","PF00069"
"PF00017","PF00071"
"PF00017","PF00102"
"PF00017","PF00125"
"PF00017","PF00130"
"PF00017","PF00168"
"PF00017","PF00169"
"PF00017","PF00170"
"PF00017","PF00293"
"PF00017","PF00297"
"PF00017","PF00307"
"PF00017","PF00387"
"PF00017","PF00388"
"PF00017","PF00433"
"PF00017","PF00439"
"PF00017","PF00443"
"PF00017","PF00505"
"PF00017","PF00530"
"PF00017","PF00575"
"PF00017","PF00611"
"PF00017","PF00612"
"PF00017","PF00613"
"PF00017","PF00616"
"PF00017","PF00620"
"PF00017","PF00621"
"PF00017","PF00627"
"PF00017","PF00640"
"PF00017","PF00757"
"PF00017","PF00779"
"PF00017","PF00788"
"PF00017","PF00792"
"PF00017","PF01017"
"PF00017","PF01030"
"PF00017","PF02174"
"PF00017","PF02189"
"PF00017","PF02196"
"PF00017","PF02198"
"PF00017","PF02204"
"PF00017","PF02262"
"PF00017","PF02761"
"PF00017","PF02762"
"PF00017","PF02813"
"PF00017","PF02864"
"PF00017","PF02892"
"PF00017","PF02953"
"PF00017","PF03372"
"PF00017","PF03623"
"PF00017","PF03665"
"PF00017","PF06328"
"PF00017","PF07525"
"PF00017","PF07653"
"PF00017","PF07686"
"PF00017","PF07714"
"PF00018","PF00018"
"PF00018","PF00022"
"PF00018","PF00023"
"PF00018","PF00036"
"PF00018","PF00041"
"PF00018","PF00044"
"PF00018","PF00047"
"PF00018","PF00063"
"PF00018","PF00069"
"PF00018","PF00070"
"PF00018","PF00071"
"PF00018","PF00072"
"PF00018","PF00076"
"PF00018","PF00083"
"PF00018","PF00096"
"PF00018","PF00102"
"PF00018","PF00107"
"PF00018","PF00117"
"PF00018","PF00125"
"PF00018","PF00130"
"PF00018","PF00149"
"PF00018","PF00153"
"PF00018","PF00160"
"PF00018","PF00168"
"PF00018","PF00169"
"PF00018","PF00170"
"PF00018","PF00172"
"PF00018","PF00175"
"PF00018","PF00183"
"PF00018","PF00198"
"PF00018","PF00226"
"PF00018","PF00240"
"PF00018","PF00241"
"PF00018","PF00244"
"PF00018","PF00270"
"PF00018","PF00271"
"PF00018","PF00297"
"PF00018","PF00300"
"PF00018","PF00307"
"PF00018","PF00320"
"PF00018","PF00364"
"PF00018","PF00368"
"PF00018","PF00387"
"PF00018","PF00388"
"PF00018","PF00397"
"PF00018","PF00399"
"PF00018","PF00400"
"PF00018","PF00412"
"PF00018","PF00433"
"PF00018","PF00435"
"PF00018","PF00439"
"PF00018","PF00442"
"PF00018","PF00443"
"PF00018","PF00469"
"PF00018","PF00481"
"PF00018","PF00491"
"PF00018","PF00505"
"PF00018","PF00515"
"PF00018","PF00536"
"PF00018","PF00554"
"PF00018","PF00560"
"PF00018","PF00561"
"PF00018","PF00564"
"PF00018","PF00566"
"PF00018","PF00568"
"PF00018","PF00581"
"PF00018","PF00590"
"PF00018","PF00595"
"PF00018","PF00611"
"PF00018","PF00612"
"PF00018","PF00616"
"PF00018","PF00617"
"PF00018","PF00618"
"PF00018","PF00620"
"PF00018","PF00621"
"PF00018","PF00625"
"PF00018","PF00627"
"PF00018","PF00632"
"PF00018","PF00640"
"PF00018","PF00646"
"PF00018","PF00649"
"PF00018","PF00675"
"PF00018","PF00774"
"PF00018","PF00779"
"PF00018","PF00783"
"PF00018","PF00784"
"PF00018","PF00786"
"PF00018","PF00787"
"PF00018","PF00788"
"PF00018","PF00790"
"PF00018","PF00791"
"PF00018","PF00804"
"PF00018","PF00806"
"PF00018","PF00870"
"PF00018","PF00880"
"PF00018","PF00892"
"PF00018","PF00956"
"PF00018","PF00970"
"PF00018","PF00996"
"PF00018","PF01056"
"PF00018","PF01086"
"PF00018","PF01134"
"PF00018","PF01158"
"PF00018","PF01182"
"PF00018","PF01213"
"PF00018","PF01214"
"PF00018","PF01248"
"PF00018","PF01412"
"PF00018","PF01417"
"PF00018","PF01433"
"PF00018","PF01450"
"PF00018","PF01565"
"PF00018","PF01602"
"PF00018","PF01608"
"PF00018","PF01652"
"PF00018","PF01679"
"PF00018","PF01694"
"PF00018","PF01793"
"PF00018","PF01808"
"PF00018","PF02037"
"PF00018","PF02116"
"PF00018","PF02142"
"PF00018","PF02181"
"PF00018","PF02184"
"PF00018","PF02201"
"PF00018","PF02205"
"PF00018","PF02208"
"PF00018","PF02383"
"PF00018","PF02453"
"PF00018","PF02466"
"PF00018","PF02518"
"PF00018","PF02535"
"PF00018","PF02800"
"PF00018","PF02809"
"PF00018","PF02813"
"PF00018","PF02828"
"PF00018","PF02852"
"PF00018","PF02891"
"PF00018","PF02913"
"PF00018","PF03029"
"PF00018","PF03114"
"PF00018","PF03143"
"PF00018","PF03144"
"PF00018","PF03639"
"PF00018","PF03983"
"PF00018","PF04281"
"PF00018","PF04366"
"PF00018","PF04695"
"PF00018","PF04752"
"PF00018","PF04882"
"PF00018","PF05008"
"PF00018","PF05038"
"PF00018","PF05172"
"PF00018","PF05177"
"PF00018","PF05216"
"PF00018","PF05693"
"PF00018","PF05924"
"PF00018","PF06017"
"PF00018","PF06371"
"PF00018","PF06920"
"PF00018","PF07645"
"PF00018","PF07653"
"PF00018","PF07714"
"PF00018","PF07743"
"PF00018","PF07962"
"PF00018","PF08730"
"PF00018","PF08944"
"PF00018","PF11302"
"PF00019","PF00019"
"PF00019","PF00050"
"PF00019","PF00069"
"PF00019","PF00100"
"PF00019","PF00688"
"PF00019","PF00757"
"PF00019","PF01030"
"PF00019","PF01064"
"PF00019","PF02351"
"PF00019","PF05806"
"PF00019","PF07648"
"PF00019","PF07686"
"PF00019","PF07714"
"PF00019","PF08917"
"PF00020","PF00020"
"PF00020","PF00047"
"PF00020","PF00069"
"PF00020","PF00229"
"PF00020","PF00243"
"PF00020","PF00531"
"PF00020","PF00917"
"PF00020","PF01537"
"PF00020","PF02176"
"PF00020","PF07686"
"PF00021","PF00021"
"PF00021","PF00051"
"PF00021","PF01033"
"PF00021","PF05444"
"PF00021","PF07686"
"PF00022","PF00022"
"PF00022","PF00036"
"PF00022","PF00047"
"PF00022","PF00063"
"PF00022","PF00069"
"PF00022","PF00090"
"PF00022","PF00096"
"PF00022","PF00097"
"PF00022","PF00106"
"PF00022","PF00117"
"PF00022","PF00118"
"PF00022","PF00125"
"PF00022","PF00132"
"PF00022","PF00135"
"PF00022","PF00149"
"PF00022","PF00168"
"PF00022","PF00172"
"PF00022","PF00211"
"PF00022","PF00231"
"PF00022","PF00235"
"PF00022","PF00241"
"PF00022","PF00258"
"PF00022","PF00261"
"PF00022","PF00273"
"PF00022","PF00287"
"PF00022","PF00307"
"PF00022","PF00310"
"PF00022","PF00349"
"PF00022","PF00382"
"PF00022","PF00397"
"PF00022","PF00400"
"PF00022","PF00428"
"PF00022","PF00439"
"PF00022","PF00454"
"PF00022","PF00481"
"PF00022","PF00483"
"PF00022","PF00493"
"PF00022","PF00505"
"PF00022","PF00514"
"PF00022","PF00560"
"PF00022","PF00564"
"PF00022","PF00612"
"PF00022","PF00626"
"PF00022","PF00628"
"PF00022","PF00632"
"PF00022","PF00650"
"PF00022","PF00692"
"PF00022","PF00724"
"PF00022","PF00730"
"PF00022","PF00806"
"PF00022","PF00956"
"PF00022","PF00992"
"PF00022","PF01154"
"PF00022","PF01207"
"PF00022","PF01213"
"PF00022","PF01230"
"PF00022","PF01247"
"PF00022","PF01290"
"PF00022","PF01302"
"PF00022","PF01336"
"PF00022","PF01380"
"PF00022","PF01398"
"PF00022","PF01412"
"PF00022","PF01417"
"PF00022","PF01501"
"PF00022","PF01585"
"PF00022","PF01607"
"PF00022","PF01608"
"PF00022","PF01762"
"PF00022","PF01770"
"PF00022","PF01812"
"PF00022","PF01849"
"PF00022","PF01853"
"PF00022","PF01875"
"PF00022","PF01920"
"PF00022","PF02045"
"PF00022","PF02181"
"PF00022","PF02205"
"PF00022","PF02259"
"PF00022","PF02260"
"PF00022","PF02284"
"PF00022","PF02463"
"PF00022","PF02755"
"PF00022","PF02902"
"PF00022","PF02949"
"PF00022","PF03256"
"PF00022","PF03366"
"PF00022","PF03372"
"PF00022","PF03496"
"PF00022","PF03727"
"PF00022","PF03847"
"PF00022","PF03915"
"PF00022","PF04045"
"PF00022","PF04062"
"PF00022","PF04110"
"PF00022","PF04177"
"PF00022","PF04382"
"PF00022","PF04699"
"PF00022","PF04795"
"PF00022","PF04855"
"PF00022","PF04912"
"PF00022","PF05383"
"PF00022","PF05712"
"PF00022","PF05839"
"PF00022","PF05843"
"PF00022","PF05856"
"PF00022","PF05902"
"PF00022","PF06017"
"PF00022","PF06068"
"PF00022","PF06470"
"PF00022","PF06740"
"PF00022","PF07572"
"PF00022","PF07653"
"PF00022","PF07904"
"PF00022","PF08265"
"PF00022","PF08271"
"PF00022","PF08601"
"PF00022","PF08603"
"PF00022","PF08614"
"PF00022","PF08624"
"PF00022","PF09164"
"PF00022","PF11643"
"PF00023","PF00023"
"PF00023","PF00025"
"PF00023","PF00027"
"PF00023","PF00043"
"PF00023","PF00069"
"PF00023","PF00071"
"PF00023","PF00076"
"PF00023","PF00096"
"PF00023","PF00097"
"PF00023","PF00098"
"PF00023","PF00125"
"PF00023","PF00130"
"PF00023","PF00134"
"PF00023","PF00153"
"PF00023","PF00160"
"PF00023","PF00168"
"PF00023","PF00169"
"PF00023","PF00171"
"PF00023","PF00172"
"PF00023","PF00178"
"PF00023","PF00211"
"PF00023","PF00227"
"PF00023","PF00335"
"PF00023","PF00382"
"PF00023","PF00397"
"PF00023","PF00412"
"PF00023","PF00443"
"PF00023","PF00454"
"PF00023","PF00515"
"PF00023","PF00520"
"PF00023","PF00531"
"PF00023","PF00533"
"PF00023","PF00536"
"PF00023","PF00554"
"PF00023","PF00560"
"PF00023","PF00595"
"PF00023","PF00609"
"PF00023","PF00612"
"PF00023","PF00640"
"PF00023","PF00646"
"PF00023","PF00651"
"PF00023","PF00656"
"PF00023","PF00710"
"PF00023","PF00781"
"PF00023","PF00791"
"PF00023","PF00821"
"PF00023","PF00850"
"PF00023","PF00856"
"PF00023","PF00870"
"PF00023","PF00873"
"PF00023","PF00888"
"PF00023","PF01115"
"PF00023","PF01158"
"PF00023","PF01193"
"PF00023","PF01237"
"PF00023","PF01253"
"PF00023","PF01267"
"PF00023","PF01363"
"PF00023","PF01399"
"PF00023","PF01412"
"PF00023","PF01423"
"PF00023","PF01462"
"PF00023","PF01466"
"PF00023","PF01529"
"PF00023","PF01547"
"PF00023","PF01582"
"PF00023","PF01585"
"PF00023","PF01636"
"PF00023","PF01734"
"PF00023","PF01753"
"PF00023","PF01757"
"PF00023","PF01833"
"PF00023","PF02076"
"PF00023","PF02100"
"PF00023","PF02176"
"PF00023","PF02178"
"PF00023","PF02259"
"PF00023","PF02260"
"PF00023","PF02292"
"PF00023","PF02493"
"PF00023","PF02798"
"PF00023","PF02921"
"PF00023","PF03009"
"PF00023","PF03105"
"PF00023","PF03964"
"PF00023","PF04108"
"PF00023","PF04112"
"PF00023","PF04180"
"PF00023","PF04408"
"PF00023","PF04960"
